company_name, compressed, ctm_odate, data_center, description, dest, dst_path, duration, encryption, end_time, end_time_update, error_category, error_code, file_name, file_size, file_transfer_end_time, file_transfer_start_time, ftid, gateway_address, group_name, integrity_check, job_name, job_run_count, last_updated, memname, mft_host, mft_ip, order_id, parent_ft, parent_type, progress, protocol_dest, protocol_src, remaining_time, retry_counter, sched_table, site_name, src, src_path, start_time, status, status_reason, transfer_duration, transfer_number, transfer_type, transferred_size, tz_offset, update_time, username
,N,20230508,ctmcore.trybmc.local,,ctmb.trybmc.local,/data.0wZYUyFKqR.bin,22087,No,20230508150033,2023-05-08 10:01:02.287813,0,0,data.0wZYUyFKqR.bin,1000000000,20230508150031,20230508150011,168355801151600_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PUSH,1,2023-05-08 10:01:02.287813, ,ctma.trybmc.local,192.168.100.22,00b4y,00b4y_1_1,5,100,SFTP,Local,0,0,MPS_FILETRANSFER_TEST,,localhost,/opt/data/data.0wZYUyFKqR.bin,20230508150011,2,,20075,1,Internal,1000000000,-05:00,2023050810003360300,ctmag
,N,20230509,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,575053,No,20230509151425,2023-05-09 10:14:54.066526,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509151425,20230509150450,168364469012400_ctmproxy.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-09 10:14:54.066526, ,ctmproxy.trybmc.local,192.168.100.20,00b7x,00b7x_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,20230509150450,2,,575052,1,Internal,10000000000,-05:00,2023050910142517601,ctmag
,N,20230508,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,63069,No,20230508150138,2023-05-08 10:02:32.480688,0,0,data.0wZYUyFKqR.bin,1000000000,20230508150138,20230508150035,168355803524200_ctmarch.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-08 10:02:32.480688, ,ctmarch.trybmc.local,192.168.100.25,00b50,00b50_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.0wZYUyFKqR.bin,20230508150035,2,,63068,1,Internal,1000000000,-05:00,2023050810013831100,ctmag
,N,20230509,ctmcore.trybmc.local,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,215231,No,20230509150448,2023-05-09 10:04:53.043908,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509150446,20230509150113,168364447301400_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PUSH,1,2023-05-09 10:04:53.043908, ,ctma.trybmc.local,192.168.100.22,00b7s,00b7s_1_1,5,100,SFTP,Local,0,0,MPS_FILETRANSFER_TEST,,localhost,/opt/data/data.QV1jUJ7wR7.bin,20230509150113,2,,213400,1,Internal,10000000000,-05:00,2023050910044824500,ctmag
,N,20230510,ctmcore.trybmc.local,,ctmb.trybmc.local,/data.q1horVQVW3.bin,44703,No,20230510150102,2023-05-10 10:01:15.900907,0,0,data.q1horVQVW3.bin,2000000000,20230510150101,20230510150018,168373081828900_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PUSH,1,2023-05-10 10:01:15.900907, ,ctma.trybmc.local,192.168.100.22,00bar,00bar_1_1,5,100,SFTP,Local,0,0,MPS_FILETRANSFER_TEST,,localhost,/opt/data/data.q1horVQVW3.bin,20230510150018,2,,43143,1,Internal,2000000000,-05:00,2023051010010299200,ctmag
,N,20230509,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,575137,No,20230509151425,2023-05-09 10:14:54.071867,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509151425,20230509150450,168364469061300_ctmcore.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-09 10:14:54.071867, ,ctmcore.trybmc.local,192.168.100.21,00b7w,00b7w_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,20230509150450,2,,575136,1,Internal,10000000000,-05:00,2023050910142575000,ctmag
,N,20230509,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,575548,No,20230509151425,2023-05-09 10:14:54.075379,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509151425,20230509150450,168364469010400_ctmarch.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-09 10:14:54.075379, ,ctmarch.trybmc.local,192.168.100.25,00b7u,00b7u_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,20230509150450,2,,575547,1,Internal,10000000000,-05:00,2023050910142565200,ctmag
,N,20230508,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,57167,No,20230508150132,2023-05-08 10:02:32.460808,0,0,data.0wZYUyFKqR.bin,1000000000,20230508150132,20230508150035,168355803514800_ctmb.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-08 10:02:32.460808, ,ctmb.trybmc.local,192.168.100.23,00b51,00b51_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.0wZYUyFKqR.bin,20230508150035,2,,57166,1,Internal,1000000000,-05:00,2023050810013231500,ctmag
,N,20230509,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,578135,No,20230509151428,2023-05-09 10:14:54.082944,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509151428,20230509150450,168364469063100_ctmb.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-09 10:14:54.082944, ,ctmb.trybmc.local,192.168.100.23,00b7v,00b7v_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,20230509150450,2,,578134,1,Internal,10000000000,-05:00,2023050910142876501,ctmag
,N,20230508,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,61829,No,20230508150137,2023-05-08 10:02:32.465109,0,0,data.0wZYUyFKqR.bin,1000000000,20230508150137,20230508150035,168355803542800_ctmcore.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-08 10:02:32.465109, ,ctmcore.trybmc.local,192.168.100.21,00b52,00b52_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.0wZYUyFKqR.bin,20230508150035,2,,61828,1,Internal,1000000000,-05:00,2023050810013725700,ctmag
